UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,Grondslag,Grondslaglabel,Grondslaglink
kunstkoopregeling,http://standaarden.overheid.nl/owms/terms/kunstkoopreg,X,,,,X,,,,,,X,X,,,http://standaarden.overheid.nl/owms/terms/KunstKoopregeling,KunstKoopregeling,https://wetten.overheid.nl/jci1.3:c:BWBR0013322
kunstzinnige vormingsubsidie,http://standaarden.overheid.nl/owms/terms/kunstzinnige_vormingsubsidie,,,,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
laadpaalverzoek,http://standaarden.overheid.nl/owms/terms/laadpaalverzoek,,,,X,X,X,X,,,X,X,,,,,,
landgoed-aanmerking,http://standaarden.overheid.nl/owms/terms/landgoedAanmerking,X,,,,,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Nsw_art_2,Artikel 2 Natuurschoonwet 1928,https://wetten.overheid.nl/jci1.3:c:BWBR0001939&artikel=2
landinrichting,http://standaarden.overheid.nl/owms/terms/landinrichting,,X,,,,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Ow_art_12_3,Artikel 12.3 Omgevingswet,https://wetten.overheid.nl/jci1.3:c:BWBR0037885&hoofdstuk=12&afdeling=12.1&paragraaf=12.1.2&artikel=12.3
lange duur vakantieproduct,http://standaarden.overheid.nl/owms/terms/langduurvakpr,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_50a,Artikel 50a Boek 7 Burgerlijk Wetboek,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1a&artikel=50a
leeftijdsgrenzen speciaal onderwijs ontheffing,http://standaarden.overheid.nl/owms/terms/leeftijdsgrSpecOndOnth,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_39,Artikel 39 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=II&afdeling=1&paragraaf=3&artikel=39
leer-werktraject,http://standaarden.overheid.nl/owms/terms/leerwerktraject,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Pw_art_10f,Artikel 10f Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.1&artikel=10f
leerlingenvervoer,http://standaarden.overheid.nl/owms/terms/leerlingenvervoer,,,,X,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WEC_art_4,Artikel 4 Wet op de expertisecentra,https://wetten.overheid.nl/jci1.3:c:BWBR0003549&titeldeel=I&artikel=4
leerlingenvervoer,http://standaarden.overheid.nl/owms/terms/leerlingenvervoer,,,,X,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WPO_art_4,Artikel 4 Wet op het primair onderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0003420&hoofdstuk=I&titeldeel=I&artikel=4
leerlingenvervoer,http://standaarden.overheid.nl/owms/terms/leerlingenvervoer,,,,X,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_8_28,Artikel 8.28 Wet voortgezet onderwijs 2020,https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=8&paragraaf=4&artikel=8.28
leerplichtverzuimmelding,http://standaarden.overheid.nl/owms/terms/leerplichtverzuimmelding,,,,X,X,,,,,X,,,X,,http://standaarden.overheid.nl/owms/terms/LPW_art_21a,Artikel 21a Leerplichtwet 1969,https://wetten.overheid.nl/jci1.3:c:BWBR0002628&paragraaf=4&artikel=21a
leerplichtvrijstelling,http://standaarden.overheid.nl/owms/terms/leerplichtvrijstelling,X,,,X,X,,,E1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/LPW_art_11,Artikel 11 Leerplichtwet 1969,https://wetten.overheid.nl/jci1.3:c:BWBR0002628&paragraaf=3&artikel=11
leerwegondersteunend onderwijs toelating,http://standaarden.overheid.nl/owms/terms/leerwegonderstOndToel,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_2_42,"Wet voortgezet onderwijs 2020, artikel 2.42",https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=2&paragraaf=4&artikel=2.42
legalisatie document,http://standaarden.overheid.nl/owms/terms/legalisatie_document,X,,,,X,,,B3,,,X,,,,http://standaarden.overheid.nl/owms/terms/BesBuiDoc_art_2,Artikel 2 Besluit vaststelling gedragslijn beoordeling buitenlandse documenten door middel van legalisatie en verificatie,https://wetten.overheid.nl/jci1.3:c:BWBR0019727&artikel=2
legalisatie document,http://standaarden.overheid.nl/owms/terms/legalisatie_document,X,,,,X,,,B3,,,X,,,,http://standaarden.overheid.nl/owms/terms/Uw_HLVd_art_I,Artikel I Uitvoeringswet Verdrag tot afschaffing vereiste legalisatie buitenlandse openbare akten,https://wetten.overheid.nl/jci1.3:c:BWBR0002482&artikel=I
legalisatie handtekening,http://standaarden.overheid.nl/owms/terms/legalisatie_handtekening,,,,X,X,,,,,X,,,,,,,
leges,http://standaarden.overheid.nl/owms/terms/leges,X,X,X,X,X,X,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Gemw_art_229,Artikel 229 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&paragraaf=3&artikel=229
leges,http://standaarden.overheid.nl/owms/terms/leges,X,X,X,X,X,X,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/PW_art_223,Artikel 223 Provinciewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005645&titeldeel=IV&hoofdstuk=XV&paragraaf=2&artikel=223
leges,http://standaarden.overheid.nl/owms/terms/leges,X,X,X,X,X,X,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Wschw_art_115,Artikel 115 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=IV&hoofdstuk=XVI&artikel=115
leraren promotiebeurs,http://standaarden.overheid.nl/owms/terms/lerarenPromBeurs,X,,,,X,,,E1,,,X,X,,,http://standaarden.overheid.nl/owms/terms/NWO_subreg,NWO Subsidieregeling,https://wetten.overheid.nl/jci1.3:c:BWBR0050166
lerarenbeurs,http://standaarden.overheid.nl/owms/terms/lerarenbeurs,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/Subs_reg_Lerarenb,Artikel 7 Subsidieregeling lerarenbeurs,https://wetten.overheid.nl/jci1.3:c:BWBR0039319&hoofdstuk=1&artikel=7
lesgeld,http://standaarden.overheid.nl/owms/terms/lesgeld,X,,,,X,,,E1,,,,,,X,http://standaarden.overheid.nl/owms/terms/LCW_art_3,Artikel 3 Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=II&artikel=3
lesgeld buiteninvorderingstelling,http://standaarden.overheid.nl/owms/terms/lesgeldBuitInvSt,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/LCW_art_9b,Artikel 9b van de Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=IV&artikel=9b
lesgeld terugbetaling,http://standaarden.overheid.nl/owms/terms/lesgeldTerBet,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/LCW_art_5,Artikel 5 Les- en cursusgeldwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004188&hoofdstuk=II&artikel=5
levenlanglerenkrediet,http://standaarden.overheid.nl/owms/terms/levenlanglerenkrediet,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_3_1,Artikel 3.1 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=3&paragraaf=3.1&artikel=3.1
levensmiddelenbedrijferkenning,http://standaarden.overheid.nl/owms/terms/levmiddbedrerk,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Warenwetreg_proc_art_4,Artikel 4 Warenwetregeling procedures registratie en erkenning van levensmiddelenbedrijven,https://wetten.overheid.nl/jci1.3:c:BWBR0019442&artikel=4
levensmiddelenbedrijfregistratie,http://standaarden.overheid.nl/owms/terms/levmiddbedrreg,X,,,,,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Warenwetreg_proc_art_2,Artikel 2 Warenwetregeling procedures registratie en erkenning van levensmiddelenbedrijven,https://wetten.overheid.nl/jci1.3:c:BWBR0019442&artikel=2
lichaamsmateriaaldonortestvergunning,http://standaarden.overheid.nl/owms/terms/lichmatdontstverg,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wvkl_art_12,Artikel 12 Wet veiligheid en kwaliteit lichaamsmateriaal,https://wetten.overheid.nl/jci1.3:c:BWBR0014682&hoofdstuk=III&artikel=12
lichaamsmateriaalerkenning,http://standaarden.overheid.nl/owms/terms/lichmaterk,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wvkl_art_9,Artikel 9 Wet veiligheid en kwaliteit lichaamsmateriaal,https://wetten.overheid.nl/jci1.3:c:BWBR0014682&hoofdstuk=III&artikel=9
ligplaatsvergunning,http://standaarden.overheid.nl/owms/terms/ligplaatsvergunning,X,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
liquide middelen aangifte bij binnenkomst of verlaten EU,http://standaarden.overheid.nl/owms/terms/liqMiddAangBinnenkVerlEU,X,,,,X,,,A2,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EG_1889_2005_art_3,Artikel 3 Verordening (EG) nr. 1889/2005 van het europees parlement en de raad van 26 oktober 2005 betreffende de controle van liquide middelen die de Gemeenschap binnenkomen of verlaten,https://eur-lex.europa.eu/eli/reg/2005/1889/oj
logeerhuis,http://standaarden.overheid.nl/owms/terms/logeerhuis,,,,X,X,,,,,X,X,,,,,,
lokale bibliotheek,http://standaarden.overheid.nl/owms/terms/lokale_bibliotheek,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WetStelsOpenbBiblvz_art_1,Artikel 1 Wet stelsel openbare bibliotheekvoorzieningen,https://wetten.overheid.nl/jci1.3:c:BWBR0035878&hoofdstuk=1&artikel=1
lokale omroepsubsidie,http://standaarden.overheid.nl/owms/terms/lokale_omroepsubsidie,,,,X,,X,,,,X,X,X,,,http://standaarden.overheid.nl/owms/terms/Mediawet_art_2_170b,Artikel 2.170b Mediawet 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0025028&hoofdstuk=2&titeldeel=2.6&afdeling=2.6.5&artikel=2.170b
loon premie volksverzekering inhouding,http://standaarden.overheid.nl/owms/terms/loonpvvinh,X,,,,X,X,,K2,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wfsv_art_58,Artikel 58 Wet financiering sociale verzekeringen,https://wetten.overheid.nl/jci1.3:c:BWBR0017745&hoofdstuk=4&paragraaf=1&artikel=58
loon premie werknemersverzekering inhouding,http://standaarden.overheid.nl/owms/terms/loonpwvinh,X,,,,X,X,,K2,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wfsv_art_59,Artikel 59 Wet financiering sociale verzekeringen,https://wetten.overheid.nl/jci1.3:c:BWBR0017745&hoofdstuk=4&paragraaf=1&artikel=59
loonbelasting,http://standaarden.overheid.nl/owms/terms/loonbelasting,X,,,,X,X,,K2,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wet_LB_art_1,Artikel 1 Wet op de loonbelasting 1964,https://wetten.overheid.nl/jci1.3:c:BWBR0002471&hoofdstuk=I&artikel=1
loonheffing,http://standaarden.overheid.nl/owms/terms/loonheffing,X,,,,,X,X,,,,,,,X,,,
loonkostensubsidie,http://standaarden.overheid.nl/owms/terms/loonkostSub,,,,X,,X,,,,X,X,X,,,http://standaarden.overheid.nl/owms/terms/PW_art_10d,Artikel 10d Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.1&artikel=10d
loonsuppletie,http://standaarden.overheid.nl/owms/terms/loonsuppl,X,,,,X,,,F4;B6,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WAO_art_65c,Artikel 65c Wet op de arbeidsongeschiktheidsverzekering,https://wetten.overheid.nl/jci1.3:c:BWBR0002524&hoofdstuk=IIB&artikel=65c
loophulpmiddel,http://standaarden.overheid.nl/owms/terms/loophulpmiddel,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.1
luchtvaart geluidscertificaat,http://standaarden.overheid.nl/owms/terms/luchtvGeluidscert,X,,,,,X,X,C5,,,X,,,,http://standaarden.overheid.nl/owms/terms/Besluit_luchtv_2008_art_14,Artikel 14 Besluit luchtvaartuigen 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0023922&hoofdstuk=5&artikel=14
luchtvaart geluidsverklaring,http://standaarden.overheid.nl/owms/terms/luchtvGeluidsverklaring,X,,,,,X,X,C5,,,,,X,,http://standaarden.overheid.nl/owms/terms/Besluit_luchtv_2008_art_15,Artikel 15 Besluit luchtvaartuigen 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0023922&hoofdstuk=5&artikel=15
luchtvaart voorvalmelding,http://standaarden.overheid.nl/owms/terms/luchtvVoorvalMelding,X,,,,X,X,,A2,,,,,X,,http://standaarden.overheid.nl/owms/terms/Reg_mld_voorv_burgerlv_art_3,Artikel 3 Regeling melden voorvallen in de burgerluchtvaart 2019,https://wetten.overheid.nl/jci1.3:c:BWBR0042397&artikel=3
luchtvaart voorvalmelding,http://standaarden.overheid.nl/owms/terms/luchtvVoorvalMelding,X,,,,X,X,,A2,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EU_376_2014_art_5,"Artikel 5 Verordening (EU) nr. 376/2014 van het Europees Parlement en de Raad van 3 april 2014 inzake het melden, onderzoeken en opvolgen van voorvallen in de burgerluchtvaart",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32014R0376&from=NL
luchtvaartregister,http://standaarden.overheid.nl/owms/terms/luchtvaartregister,X,,,,,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WLV_art_3_3,Artikel 3.3 Wet luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0005555&hoofdstuk=3&titeldeel=3.1&artikel=3.3
luchtvaartregister doorhaling,http://standaarden.overheid.nl/owms/terms/luchtvregdoorh,X,,,,,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/WLV_art_3_4,Artikel 3.4 Wet luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0005555&hoofdstuk=3&titeldeel=3.1&artikel=3.4
luchtvaartregister inschrijving,http://standaarden.overheid.nl/owms/terms/luchtvregins,X,,,,,X,,C5,,,,,,,http://standaarden.overheid.nl/owms/terms/WLV_art_3_1,Artikel 3.1 Wet luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0005555&hoofdstuk=3&titeldeel=3.1&artikel=3.1
luchtvaartuig teboekstelling,http://standaarden.overheid.nl/owms/terms/luchtvaartuig_teboekstelling,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Kadw_art_92,Artikel 92 Kadasterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004541&hoofdstuk=6&titeldeel=1&artikel=92
maaltijdservice,http://standaarden.overheid.nl/owms/terms/maaltijdservice,,,,X,X,,,,,X,,,,,,,
maatregel eindexamen beroep,http://standaarden.overheid.nl/owms/terms/maatrEindexBer,X,,,,X,,,E1,,,,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_2_63,"Wet voortgezet onderwijs 2020, art. 2.63",https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=2&paragraaf=5&artikel=2.63
maatschappelijke dienstverleningsubsidie,http://standaarden.overheid.nl/owms/terms/maatschappelijke_dienstverleningsubsidie,,,,X,,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
maatschappelijke zorgsubsidie,http://standaarden.overheid.nl/owms/terms/maatschappelijke_zorgsubsidie,,,,X,,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
maatwerkvoorschrift,http://standaarden.overheid.nl/owms/terms/maatwvrschr,X,X,X,X,,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Ow_art_4_5,Artikel 4.5 Omgevingswet,https://wetten.overheid.nl/jci1.3:c:BWBR0037885&hoofdstuk=4&afdeling=4.1&paragraaf=4.1.2&artikel=4.5
machtiging voorlopig verblijf,http://standaarden.overheid.nl/owms/terms/machtVoorlVerbl,X,,,,X,,,D1;D4,,,,,,X,http://standaarden.overheid.nl/owms/terms/VW_art_2p,Artikel 2p Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=1a&afdeling=2&paragraaf=1&artikel=2p
mantelzorgcompliment,http://standaarden.overheid.nl/owms/terms/mantelzorgcompliment,,,,X,X,,,,,X,X,X,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_1_6,Artikel 2.1.6 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=1&artikel=2.1.6
mantelzorgondersteuning,http://standaarden.overheid.nl/owms/terms/mantelzorgondersteuning,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_2_2,Artikel 2.2.2 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=2&artikel=2.2.2
marktgelden,http://standaarden.overheid.nl/owms/terms/marktgelden,,,,X,,X,,,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Gemw_art_229,Artikel 229 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&paragraaf=3&artikel=229
marktmanipulatie of handel met voorwetenschap melding,http://standaarden.overheid.nl/owms/terms/mrktmanhandvwsmld,X,,,,X,X,X,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Verord_EU_596_2014_art_16,"Verordening (EU) Nr. 596/2014 van het Europees Parlement en de Raad van 16 april 2014 betreffende marktmisbruik (Verordening marktmisbruik), art.16",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32014R0596&from=EN#d1e2464-1-1
marktvergunning,http://standaarden.overheid.nl/owms/terms/marktvergunning,X,,,X,,X,X,N1,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Marktv_art_2,Artikel 2 Model Marktverordening,
mbo-studentenfonds,http://standaarden.overheid.nl/owms/terms/mboStudFonds,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_8_1_5,Artikel 8.1.5 Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=8&titeldeel=1&artikel=8.1.5
mbo-verklaring,http://standaarden.overheid.nl/owms/terms/mboVerklaring,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_7_4_6a,Artikel 7.4.6a Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=7&titeldeel=4&paragraaf=1&artikel=7.4.6a
mededelingen,http://standaarden.overheid.nl/owms/terms/mededelingen,,,,X,X,X,,,X,X,,,,,,,
medicijnen mee op reis verklaring,http://standaarden.overheid.nl/owms/terms/medicOpReisVerkl,X,,,,X,,,A4;F2,,,X,,,,http://standaarden.overheid.nl/owms/terms/Opw_art_6,Artikel 6 Opiumwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001941&artikel=6
medisch dossier,http://standaarden.overheid.nl/owms/terms/medischDossier,X,,,,X,,,F1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_456,Artikel 456 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=7&afdeling=5&artikel=456
medisch haalbaarheidsonderzoek letselschade subsidie,http://standaarden.overheid.nl/owms/terms/medischHaalbOndLetSchSubs,X,,,,X,,,E4,,,X,X,,,http://standaarden.overheid.nl/owms/terms/RegSubsMedHaalbLets_art_2,Artikel 2 Regeling subsidiëring medische haalbaarheidsonderzoeken in letselschadezaken,https://wetten.overheid.nl/jci1.3:c:BWBR0018592&artikel=2
medisch specialistentitel,http://standaarden.overheid.nl/owms/terms/medspectitel,X,,,,X,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Reg_specialisten_geneeskunst_art_1,Artikel 1 Regeling specialisten geneeskunst,https://wetten.overheid.nl/jci1.3:c:BWBR0009878&artikel=1
medisch vervoer,http://standaarden.overheid.nl/owms/terms/medVervoer,,,,X,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Zvw_art_10,Artikel 10 Zorgverzekeringswet,https://wetten.overheid.nl/jci1.3:c:BWBR0018450&hoofdstuk=3&paragraaf=3.1&artikel=10
medische hulpmiddelen eisen,http://standaarden.overheid.nl/owms/terms/medhlpmiddeis,X,,,,,X,X,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bmh,Besluit medische hulpmiddelen,https://wetten.overheid.nl/jci1.3:c:BWBR0043470
medische keuring,http://standaarden.overheid.nl/owms/terms/medKeur,X,,,,X,X,,B6,,,,,,,http://standaarden.overheid.nl/owms/terms/Wmk_art_1,Artikel 1 Wet op de medische keuringen,https://wetten.overheid.nl/jci1.3:c:BWBR0008819&artikel=1
meerderjarigheidsverklaring,http://standaarden.overheid.nl/owms/terms/meerderjarigheidsverklaring,X,,,,X,,,G1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_253ha,Artikel 253ha Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=14&afdeling=2&paragraaf=2a&artikel=253ha
meldcode huiselijk geweld en kindermishandeling,http://standaarden.overheid.nl/owms/terms/mldcdhuisgewkndmis,X,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Stb_2013_142,verplichte meldcode huiselijk geweld en kindermishandeling,https://zoek.officielebekendmakingen.nl/stb-2013-142.html
melding gemeentelijke antidiscriminatievoorziening,http://standaarden.overheid.nl/owms/terms/discrMeldGemVoorz,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_gem_antidiscr_art_1,Artikel 1 Wet gemeentelijke antidiscriminatievoorzieningen,https://wetten.overheid.nl/jci1.3:c:BWBR0026168&artikel=1
melding openbare ruimte (algemeen),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(algemeen),,,X,X,X,X,,,X,,,,,,,,
melding openbare ruimte (groenvoorziening),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(groenvoorziening),,,,X,X,X,,,X,,,,,,,,
melding openbare ruimte (straatmeubilair),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(straatmeubilair),,,,X,X,X,,,X,,,,,,,,
melding openbare ruimte (straatverlichting),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(straatverlichting),,,X,X,X,X,,,X,,,,,,,,
meldpunt algemeen,http://standaarden.overheid.nl/owms/terms/meldpuntAlg,,X,X,X,X,X,,,,,,,,,,,
meldpunt ongewenst verhuurgedrag,http://standaarden.overheid.nl/owms/terms/meldpunt_ongew_verhuurgedrag,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_goed_verhuurderschap_art_4,Artikel 4 Wet goed verhuurderschap,https://wetten.overheid.nl/jci1.3:c:BWBR0048028&hoofdstuk=3&artikel=4
meldpunt zorgfraude,http://standaarden.overheid.nl/owms/terms/meldpuntZorgfraude,X,,,,X,X,,F1,,,,,,,http://standaarden.overheid.nl/owms/terms/Wmg_art_74,Artikel 74 Wet marktordening gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0020078&hoofdstuk=6&paragraaf=6.1&artikel=74
mentorschap,http://standaarden.overheid.nl/owms/terms/mentorschap,X,,,,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_450,Artikel 450 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=20&artikel=450
meubelaanpassing,http://standaarden.overheid.nl/owms/terms/meubelaanp,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.1
middelbare school klacht,http://standaarden.overheid.nl/owms/terms/middSchKlacht,X,,,,X,,,E1,,,,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_3_35,"Wet voortgezet onderwijs 2020, art. 3.35",https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=3&paragraaf=9&artikel=3.35
middeling,http://standaarden.overheid.nl/owms/terms/middeling,X,,,,X,,,B4,,,X,,,,http://standaarden.overheid.nl/owms/terms/IB_art_3_154,Artikel 3.154 Wet inkomstenbelasting 2001,https://wetten.overheid.nl/jci1.3:c:BWBR0011353&hoofdstuk=3&afdeling=3.14&artikel=3.154
mijnbouw schadevergoeding,http://standaarden.overheid.nl/owms/terms/mijnbSchVerg,X,,,,X,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Mijnbouwwet_art_137,Artikel 137 Mijnbouwwet,https://wetten.overheid.nl/jci1.3:c:BWBR0014168&hoofdstuk=9&paragraaf=9.2&artikel=137
milieu provinciale subsidie,http://standaarden.overheid.nl/owms/terms/milieu_provinciale_subsidie,,X,,,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
milieueffectrapportage ontheffing,http://standaarden.overheid.nl/owms/terms/milieueffectrapportage_ontheffing,X,X,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Ow_art_16_44,Artikel 16.44 Omgevingswet,https://wetten.overheid.nl/jci1.3:c:BWBR0037885&hoofdstuk=16&afdeling=16.4&paragraaf=16.4.2&artikel=16.44
milieuinformatie,http://standaarden.overheid.nl/owms/terms/milieuinformatie,,,X,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_19_1b,Artikel 19.1b Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=19&artikel=19.1b
milieuontheffing,http://standaarden.overheid.nl/owms/terms/milieuontheffing,,X,,,,X,X,N1,X,,X,,,,http://standaarden.overheid.nl/owms/terms/pro_mil_vo,provinciale milieuverordening,
milieuverslag bedrijf,http://standaarden.overheid.nl/owms/terms/milieuverslag_bedrijf,X,X,,,,X,X,N1,,X,,,,X,http://standaarden.overheid.nl/owms/terms/Verord_EG_166_2005,"Verordening (EG) Nr. 166/2005 van het Europees Parlement en de Raad van 18 januari 2006 betreffende de instelling van een Europees register inzake de uitstoot en overbrenging van verontreinigende stoffen, artikel 5",https://eur-lex.europa.eu/eli/reg/2006/166/oj
milieuvriendelijk bouwsubsidie,http://standaarden.overheid.nl/owms/terms/milieuvriendelijk_bouwsubsidie,,,,X,X,X,,,X,,X,X,,,,,
